country,Genre
France,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Faith & Spirituality,Science & Nature TV,British TV Shows,Thrillers,International TV Shows,TV Horror,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Georgia,"Documentaries,Independent Movies,Dramas,International Movies"
Germany,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Faith & Spirituality,Science & Nature TV,British TV Shows,Thrillers,International TV Shows,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Ghana,"Independent Movies,Comedies,Dramas,International Movies"
Greece,"Science & Nature TV,British TV Shows,Documentaries,Sci-Fi & Fantasy,International TV Shows,Independent Movies,Action & Adventure,Dramas,Romantic Movies,International Movies,Docuseries,LGBTQ Movies,Comedies,Movies"
Guatemala,"Documentaries,Independent Movies,Dramas,International Movies"
Hong Kong,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,Independent Movies,Classic Movies,TV Comedies,Action & Adventure,Korean TV Shows,Music & Musicals,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Children & Family Movies,Cult Movies,Comedies"
Hungary,"Children & Family Movies,Sci-Fi & Fantasy,Thrillers,Action & Adventure,Dramas,Romantic Movies,TV Dramas,International Movies"
Iceland,"Horror Movies,Crime TV Shows,Sci-Fi & Fantasy,Thrillers,International TV Shows,Independent Movies,Stand-Up Comedy,Action & Adventure,Dramas,Romantic Movies,TV Dramas,International Movies"
India,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Faith & Spirituality,TV Shows,British TV Shows,Thrillers,International TV Shows,TV Horror,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Indonesia,"Faith & Spirituality,Documentaries,Sci-Fi & Fantasy,Sports Movies,International TV Shows,TV Comedies,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Horror Movies,Children & Family Movies,Comedies,Kids' TV"
Iran,"Horror Movies,Thrillers,Independent Movies,Classic Movies,Dramas,International Movies"
Iraq,"Documentaries,International Movies"
Ireland,"Faith & Spirituality,British TV Shows,Crime TV Shows,Documentaries,Sports Movies,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Comedies,Action & Adventure,Dramas,Romantic Movies,TV Dramas,International Movies,Horror Movies,Children & Family Movies,TV Mysteries,Comedies,TV Action & Adventure,Kids' TV"
Israel,"Faith & Spirituality,Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Dramas,TV Dramas,International Movies,Horror Movies,Docuseries,Comedies,TV Action & Adventure"
Italy,"Faith & Spirituality,Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,TV Horror,Spanish-Language TV Shows,Independent Movies,Classic Movies,TV Comedies,Action & Adventure,Music & Musicals,Dramas,TV Dramas,Romantic Movies,International Movies,Romantic TV Shows,Horror Movies,Children & Family Movies,Docuseries,Teen TV Shows,Stand-Up Comedy,LGBTQ Movies,Comedies,Kids' TV"
Jamaica,"Sports Movies,Dramas,International Movies"
Japan,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,TV Thrillers,Music & Musicals,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Comedies,Kids' TV,Movies,TV Shows,Anime Series,Thrillers,International TV Shows,TV Horror,Classic Movies,Action & Adventure,Dramas,Anime Features,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,TV Mysteries,LGBTQ Movies,TV Action & Adventure"
Jordan,"Horror Movies,Documentaries,Sports Movies,Thrillers,International TV Shows,TV Mysteries,Comedies,Dramas,TV Dramas,International Movies"
Kazakhstan,Children & Family Movies
Kenya,"Documentaries,Thrillers,Comedies,Dramas,Romantic Movies,International Movies"
Kuwait,"Sci-Fi & Fantasy,Thrillers,International TV Shows,Action & Adventure,Comedies,Dramas,TV Dramas,Romantic TV Shows,International Movies"
Latvia,"Dramas,International Movies"
Lebanon,"Crime TV Shows,Documentaries,International TV Shows,Independent Movies,Classic Movies,Music & Musicals,TV Thrillers,Dramas,TV Dramas,Romantic Movies,International Movies,Romantic TV Shows,Children & Family Movies,Comedies"
Liechtenstein,"Classic Movies,Dramas,Romantic Movies"
Lithuania,"Dramas,International Movies"
Luxembourg,"Children & Family Movies,Sci-Fi & Fantasy,Thrillers,Independent Movies,Action & Adventure,Dramas,Kids' TV,International Movies"
Malawi,"Children & Family Movies,Independent Movies,Dramas"
Malaysia,"International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Korean TV Shows,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Horror Movies,Children & Family Movies,TV Mysteries,Comedies,Kids' TV"
Malta,"Crime TV Shows,Thrillers,TV Action & Adventure,Dramas,Romantic Movies,TV Dramas"
Mauritius,"International TV Shows,TV Dramas"
